Time,CH1
0.0,0.27677202
4.0E-6,0.27677202
8.0E-6,0.27677202
1.2E-5,0.27677202
1.6E-5,0.27677202
2.0E-5,0.27677202
2.4E-5,0.27677202
2.8E-5,0.27677202
3.2E-5,0.27677202
3.6E-5,0.27677202
4.0E-5,0.27677202
4.4E-5,0.3230033
4.8E-5,0.3230033
5.2E-5,0.3230033
5.6E-5,0.3230033
6.0E-5,0.3230033
6.4E-5,0.3230033
6.8E-5,0.3230033
7.2E-5,0.3230033
7.6E-5,0.3230033
8.0E-5,0.3230033
8.4E-5,0.3230033
8.8E-5,0.3230033
9.2E-5,0.3230033
9.6E-5,0.3230033
1.0E-4,0.3230033
1.04E-4,0.3230033
1.08E-4,0.3230033
1.12E-4,0.3230033
1.16E-4,0.3230033
1.2E-4,0.3230033
1.24E-4,0.3230033
1.28E-4,0.3230033
1.32E-4,0.3230033
1.36E-4,0.3230033
1.4E-4,0.3230033
1.44E-4,0.3230033
1.48E-4,0.3230033
1.52E-4,0.3230033
1.56E-4,0.3230033
1.6E-4,0.3230033
1.64E-4,0.36923456
1.68E-4,0.36923456
1.72E-4,0.36923456
1.76E-4,0.36923456
1.8E-4,0.36923456
1.84E-4,0.36923456
1.88E-4,0.36923456
1.92E-4,0.36923456
1.96E-4,0.36923456
2.0E-4,0.36923456
2.04E-4,0.36923456
2.08E-4,0.36923456
2.12E-4,0.36923456
2.16E-4,0.36923456
2.2E-4,0.36923456
2.24E-4,0.36923456
2.28E-4,0.36923456
2.32E-4,0.36923456
2.3599999E-4,0.36923456
2.4E-4,0.36923456
2.44E-4,0.36923456
2.48E-4,0.36923456
2.52E-4,0.36923456
2.56E-4,0.36923456
2.6E-4,0.36923456
2.64E-4,0.36923456
2.68E-4,0.36923456
2.72E-4,0.4154663
2.76E-4,0.4154663
2.8E-4,0.4154663
2.84E-4,0.4154663
2.88E-4,0.4154663
2.92E-4,0.4154663
2.96E-4,0.4154663
2.9999999E-4,0.4154663
3.04E-4,0.4154663
3.08E-4,0.4154663
3.12E-4,0.4154663
3.16E-4,0.4154663
3.2E-4,0.4154663
3.24E-4,0.4154663
3.28E-4,0.4154663
3.32E-4,0.4154663
3.36E-4,0.4154663
3.4E-4,0.4154663
3.44E-4,0.4154663
3.48E-4,0.4154663
3.52E-4,0.4154663
3.56E-4,0.4154663
3.6E-4,0.4154663
3.64E-4,0.4154663
3.68E-4,0.4154663
3.72E-4,0.4154663
3.76E-4,0.4154663
3.8E-4,0.4154663
3.84E-4,0.4154663
3.88E-4,0.4154663
3.92E-4,0.4154663
3.96E-4,0.46169758
4.0E-4,0.46169758
4.04E-4,0.46169758
4.08E-4,0.46169758
4.12E-4,0.46169758
4.16E-4,0.46169758
4.2E-4,0.46169758
4.24E-4,0.46169758
4.28E-4,0.46169758
4.32E-4,0.46169758
4.36E-4,0.46169758
4.4E-4,0.46169758
4.44E-4,0.46169758
4.48E-4,0.46169758
4.52E-4,0.46169758
4.56E-4,0.46169758
4.6E-4,0.46169758
4.64E-4,0.46169758
4.68E-4,0.46169758
4.7199999E-4,0.46169758
4.76E-4,0.46169758
4.8E-4,0.46169758
4.84E-4,0.46169758
4.88E-4,0.46169758
4.92E-4,0.46169758
4.96E-4,0.46169758
5.0E-4,0.46169758
5.04E-4,0.46169758
5.08E-4,0.46169758
5.12E-4,0.46169758
5.16E-4,0.50792885
5.2E-4,0.50792885
5.24E-4,0.50792885
5.28E-4,0.50792885
5.32E-4,0.50792885
5.36E-4,0.50792885
5.4E-4,0.50792885
5.44E-4,0.50792885
5.48E-4,0.50792885
5.52E-4,0.50792885
5.56E-4,0.50792885
5.6E-4,0.50792885
5.64E-4,0.50792885
5.68E-4,0.50792885
5.72E-4,0.50792885
5.76E-4,0.50792885
5.8E-4,0.50792885
5.84E-4,0.50792885
5.88E-4,0.50792885
5.92E-4,0.50792885
5.96E-4,0.50792885
5.9999997E-4,0.50792885
6.04E-4,0.50792885
6.08E-4,0.50792885
6.12E-4,0.50792885
6.16E-4,0.50792885
6.2E-4,0.50792885
6.24E-4,0.50792885
6.28E-4,0.5541601
6.32E-4,0.5541601
6.36E-4,0.5541601
6.4E-4,0.5541601
6.44E-4,0.5541601
6.48E-4,0.5541601
6.52E-4,0.5541601
6.56E-4,0.5541601
6.6E-4,0.5541601
6.64E-4,0.5541601
6.68E-4,0.5541601
6.72E-4,0.5541601
6.76E-4,0.5541601
6.8E-4,0.5541601
6.8399997E-4,0.5541601
6.88E-4,0.5541601
6.92E-4,0.5541601
6.96E-4,0.5541601
7.0E-4,0.5541601
7.04E-4,0.5541601
7.08E-4,0.5541601
7.12E-4,0.5541601
7.16E-4,0.5541601
7.2E-4,0.5541601
7.24E-4,0.5541601
7.28E-4,0.5541601
7.32E-4,0.5541601
7.36E-4,0.5541601
7.4E-4,0.5541601
7.44E-4,0.5541601
7.48E-4,0.5541601
7.52E-4,0.60039186
7.56E-4,0.60039186
7.6E-4,0.60039186
7.64E-4,0.60039186
7.68E-4,0.60039186
7.72E-4,0.60039186
7.76E-4,0.60039186
7.8E-4,0.60039186
7.84E-4,0.60039186
7.88E-4,0.60039186
7.92E-4,0.60039186
7.96E-4,0.60039186
8.0E-4,0.60039186
8.04E-4,0.60039186
8.08E-4,0.60039186
8.12E-4,0.60039186
8.16E-4,0.60039186
8.2E-4,0.60039186
8.24E-4,0.60039186
8.28E-4,0.60039186
8.32E-4,0.60039186
8.36E-4,0.60039186
8.4E-4,0.60039186
8.44E-4,0.60039186
8.48E-4,0.60039186
8.52E-4,0.60039186
8.56E-4,0.60039186
8.6E-4,0.60039186
8.64E-4,0.64662313
8.68E-4,0.64662313
8.72E-4,0.64662313
8.76E-4,0.64662313
8.8E-4,0.64662313
8.84E-4,0.64662313
8.88E-4,0.64662313
8.92E-4,0.64662313
8.96E-4,0.64662313
9.0E-4,0.64662313
9.04E-4,0.64662313
9.08E-4,0.64662313
9.12E-4,0.64662313
9.16E-4,0.64662313
9.2E-4,0.64662313
9.24E-4,0.64662313
9.28E-4,0.64662313
9.32E-4,0.64662313
9.36E-4,0.64662313
9.4E-4,0.64662313
9.4399997E-4,0.64662313
9.48E-4,0.64662313
9.52E-4,0.64662313
9.56E-4,0.64662313
9.6E-4,0.64662313
9.64E-4,0.64662313
9.68E-4,0.64662313
9.72E-4,0.64662313
9.76E-4,0.64662313
9.8E-4,0.64662313
9.84E-4,0.64662313
9.88E-4,0.6928544
9.92E-4,0.6928544
9.96E-4,0.6928544
0.001,0.6928544
0.001004,0.6928544
0.001008,0.6928544
0.001012,0.6928544
0.001016,0.6928544
0.00102,0.6928544
0.001024,0.6928544
0.001028,0.6928544
0.001032,0.6928544
0.001036,0.6928544
0.00104,0.6928544
0.001044,0.6928544
0.001048,0.6928544
0.001052,0.6928544
0.001056,0.6928544
0.00106,0.6928544
0.001064,0.6928544
0.001068,0.6928544
0.001072,0.6928544
0.001076,0.6928544
0.00108,0.6928544
0.001084,0.6928544
0.001088,0.6928544
0.001092,0.6928544
0.001096,0.6928544
0.0011,0.6928544
0.001104,0.6928544
0.001108,0.6928544
0.001112,0.7390857
0.001116,0.7390857
0.00112,0.7390857
0.001124,0.7390857
0.001128,0.7390857
0.001132,0.7390857
0.001136,0.7390857
0.00114,0.7390857
0.001144,0.7390857
0.001148,0.7390857
0.001152,0.7390857
0.001156,0.7390857
0.00116,0.7390857
0.001164,0.7390857
0.001168,0.7390857
0.001172,0.7390857
0.001176,0.7390857
0.00118,0.7390857
0.001184,0.7390857
0.001188,0.7390857
0.001192,0.7390857
0.001196,0.7390857
0.0011999999,0.7390857
0.001204,0.7390857
0.001208,0.7390857
0.001212,0.7390857
0.001216,0.7390857
0.00122,0.7390857
0.001224,0.7390857
0.001228,0.7390857
0.001232,0.7853174
0.001236,0.7853174
0.00124,0.7853174
0.001244,0.7853174
0.001248,0.7853174
0.001252,0.7853174
0.001256,0.7853174
0.00126,0.7853174
0.001264,0.7853174
0.001268,0.7853174
0.001272,0.7853174
0.001276,0.7853174
0.00128,0.7853174
0.001284,0.7853174
0.001288,0.7853174
0.001292,0.7853174
0.001296,0.7853174
0.0013,0.7853174
0.001304,0.7853174
0.001308,0.7853174
0.001312,0.7853174
0.001316,0.7853174
0.00132,0.7853174
0.001324,0.7853174
0.001328,0.7853174
0.001332,0.7853174
0.001336,0.7853174
0.00134,0.7853174
0.001344,0.7853174
0.001348,0.8315482
0.001352,0.8315482
0.001356,0.8315482
0.00136,0.8315482
0.001364,0.8315482
0.0013679999,0.8315482
0.001372,0.8315482
0.001376,0.8315482
0.00138,0.8315482
0.001384,0.8315482
0.001388,0.8315482
0.001392,0.8315482
0.001396,0.8315482
0.0014,0.8315482
0.001404,0.8315482
0.001408,0.8315482
0.001412,0.8315482
0.001416,0.8315482
0.00142,0.8315482
0.001424,0.8315482
0.001428,0.8315482
0.001432,0.8315482
0.001436,0.8315482
0.00144,0.8315482
0.001444,0.8315482
0.001448,0.8315482
0.001452,0.8315482
0.001456,0.8315482
0.0014599999,0.8315482
0.001464,0.8315482
0.001468,0.8315482
0.001472,0.8315482
0.001476,0.87777996
0.00148,0.87777996
0.001484,0.87777996
0.001488,0.87777996
0.001492,0.87777996
0.001496,0.87777996
0.0015,0.87777996
0.001504,0.87777996
0.001508,0.87777996
0.001512,0.87777996
0.001516,0.87777996
0.00152,0.87777996
0.001524,0.87777996
0.001528,0.87777996
0.001532,0.87777996
0.001536,0.87777996
0.00154,0.87777996
0.001544,0.87777996
0.001548,0.87777996
0.001552,0.87777996
0.001556,0.87777996
0.00156,0.87777996
0.001564,0.87777996
0.001568,0.87777996
0.001572,0.87777996
0.001576,0.87777996
0.00158,0.87777996
0.001584,0.87777996
0.001588,0.87777996
0.001592,0.87777996
0.001596,0.92401123
0.0016,0.92401123
0.001604,0.92401123
0.001608,0.92401123
0.001612,0.92401123
0.001616,0.92401123
0.00162,0.92401123
0.001624,0.92401123
0.0016279999,0.92401123
0.001632,0.92401123
0.001636,0.92401123
0.00164,0.92401123
0.001644,0.92401123
0.001648,0.92401123
0.001652,0.92401123
0.001656,0.92401123
0.00166,0.92401123
0.001664,0.92401123
0.001668,0.92401123
0.001672,0.92401123
0.001676,0.92401123
0.00168,0.92401123
0.001684,0.92401123
0.001688,0.92401123
0.001692,0.92401123
0.001696,0.92401123
0.0017,0.92401123
0.001704,0.92401123
